nr,company,location_hq,region,usstate,country,continent,laid_off,date_layoffs,percentage,company_size_before_layoffs,company_size_after_layoffs,industry,stage,money_raised_in__mil,year,latitude,longitude
1514,Amperity,Seattle,,Washington,USA,North America,20.0,25.01.24,,,,Marketing,Series D,187,2024,"47,6038321","-122,330062"
1518,Microsoft,Seattle,,Washington,USA,North America,1900.0,25.01.24,,,,Software Development,Post-IPO,,2024,"47,6038321","-122,330062"
1519,MVPindex,Austin,,Texas,USA,North America,12.0,25.01.24,30,40.0,28.0,Marketing,Series B,27,2024,"30,2711286","-97,7436995"
1520,Swiggy,Bengaluru,,,India,Asia,400.0,25.01.24,7,5714.0,5314.0,Food,Unknown,4,2024,"12,98815675","77,62260004"
1521,Veho,Boulder,,Colorado,USA,North America,65.0,25.01.24,19,342.0,277.0,Logistics,Series B,299,2024,"40,0149856","-105,270545"
1524,Salesforce,San Francisco,San Francisco Bay Area,California,USA,North America,700.0,26.01.24,1,70000.0,69300.0,Sales,Post-IPO,65,2024,"37,7792588","-122,4193286"
1525,DispatchHealth,Denver,,Colorado,USA,North America,88.0,29.01.24,,,,Healthcare,Series E,733,2024,"39,7392364","-104,984862"
1526,iRobot,Boston,,Massachusetts,USA,North America,350.0,29.01.24,31,1129.0,779.0,Consumer,Post-IPO,30,2024,"42,3554334","-71,060511"
1528,Aurora Solar,San Francisco,San Francisco Bay Area,California,USA,North America,111.0,30.01.24,20,555.0,444.0,Energy,Series D,523,2024,"37,7792588","-122,4193286"
1529,Block,San Francisco,San Francisco Bay Area,California,USA,North America,1000.0,30.01.24,10,10000.0,9000.0,Finance,Post-IPO,150,2024,"37,7792588","-122,4193286"
1530,Kiwi.com,Brno,,,Czech Republic,Europe,216.0,30.01.24,18,1200.0,984.0,Travel,Unknown,107,2024,"49,1922443","16,6113382"
1532,PayPal,San Jose,San Francisco Bay Area,California,USA,North America,2500.0,30.01.24,9,27778.0,25278.0,Finance,Post-IPO,216,2024,"37,3361663","-121,890591"
1534,TechCrunch,San Francisco,San Francisco Bay Area,California,USA,North America,7.0,30.01.24,,,,Media,Acquired,,2024,"37,7792588","-122,4193286"
1536,Wattpad,Toronto,,,Canada,North America,20.0,30.01.24,10,200.0,180.0,Media,Acquired,117,2024,"43,6534817","-79,3839347"
1537,CircleCI,San Francisco,San Francisco Bay Area,California,USA,North America,100.0,31.01.24,,,,Product,Series F,315,2024,"37,7792588","-122,4193286"
1538,Innoviz,Tel Aviv,,,Israel,Asia,60.0,31.01.24,13,462.0,402.0,Transportation,Post-IPO,547,2024,"32,0852997","34,7818064"
1539,Proofpoint,Sunnyvale,San Francisco Bay Area,California,USA,North America,280.0,31.01.24,6,4667.0,4387.0,Security,Acquired,885,2024,"37,3688301","-122,036349"
1541,Thinx,New York City,,New York,USA,North America,95.0,31.01.24,,,,Retail,Acquired,26,2024,"40,7127281","-74,0060152"
1542,Trove Recommerce,Brisbane,,,Australia,Oceana,130.0,31.01.24,,,,Retail,Series E,152,2024,"-27,4689682","153,0234991"
1544,Illumina,San Diego,,California,USA,North America,111.0,01.02.24,,,,Healthcare,Post-IPO,28,2024,"32,7174202","-117,162772"
1546,Okta,San Francisco,San Francisco Bay Area,California,USA,North America,400.0,01.02.24,7,5714.0,5314.0,Security,Post-IPO,1,2024,"37,7792588","-122,4193286"
1547,Polygon,Cayman Islands,,,Cayman Islands,North America,60.0,01.02.24,19,316.0,256.0,Crypto,Unknown,451,2024,"19,70318225","-79,91746272"
1548,Zoom,San Jose,San Francisco Bay Area,California,USA,North America,150.0,01.02.24,2,7500.0,7350.0,Other,Post-IPO,276,2024,"37,3361663","-121,890591"
1550,Cue Health,San Diego,,California,USA,North America,245.0,02.02.24,30,817.0,572.0,Healthcare,Post-IPO,899,2024,"32,7174202","-117,162772"
1552,Top Hat,Toronto,,,Canada,North America,35.0,02.02.24,7,500.0,465.0,Education,Series E,234,2024,"43,6534817","-79,3839347"
1555,BillGO,Fort Collins,,Colorado,USA,North America,80.0,05.02.24,,,,Finance,Series B,119,2024,"40,5871782","-105,0770113"
1556,Drizly,Boston,,Massachusetts,USA,North America,168.0,05.02.24,100,168.0,,Retail,Acquired,119,2024,"42,3554334","-71,060511"
1557,Impact.com,Los Angeles,,California,USA,North America,40.0,05.02.24,3,1333.0,1293.0,Sales,Private Equity,361,2024,"34,0536909","-118,242766"
